x,I
2026,9
2024,6
2022,9
2020,20
2018,63
2016,113
2014,185
2012,220
2010,205
2008,228
2006,298
2004,466
2002,710
2000,710
1998,560
1996,467
1994,623
1992,1255
1990,1345
1988,888
1986,620
1984,507
1982,880
1980,940
1978,586
1976,368
1974,202
1972,197
1970,197
1968,147
1966,110
1964,63
1962,22
1960,14
1958,14
1956,11
1954,7
1952,10
1950,17
1948,23
1946,24
1944,20
1942,14
1940,21
1938,27
1936,27
1934,20
1932,8
1930,4
1928,2
1926,3
1924,3
1922,18
1920,18
1918,27
1916,35
1914,35
1912,33
1910,30
1908,46
1906,68
1904,89
1902,79
1900,38
1898,17
1896,11
1894,11
1892,12
1890,10
1888,7
1886,6
1884,8
1882,10
1880,9
1878,7
1876,10
1874,21
1872,33
1870,37
